name,party,district_info,chamber,source,official_profile_url,last_updated
Benjamin Agarao Jr.,,Laguna–4th,house,wikipedia,NA,2026-08-25
Imelda Dimaporo,,Lanao del Norte–1st,house,wikipedia,NA,2026-08-25
Aminah Dimaporo,,Lanao del Norte–2nd,house,wikipedia,NA,2026-08-25
Zia Alonto Adiong,,Lanao del Sur–1st,house,wikipedia,NA,2026-08-25
Yasser Balindong,,Lanao del Sur–2nd,house,wikipedia,NA,2026-08-25
Junard Chan,,Lapu-Lapu City at-large,house,wikipedia,NA,2026-08-25
Mark Anthony Santos,,Las Piñas at-large,house,wikipedia,NA,2026-08-25
Martin Romualdez,,Leyte–1st,house,wikipedia,NA,2026-08-25
Lolita Javier,,Leyte–2nd,house,wikipedia,NA,2026-08-25
Anna Veloso-Tuazon,,Leyte–3rd,house,wikipedia,NA,2026-08-25
Richard Gomez,,Leyte–4th,house,wikipedia,NA,2026-08-25
Carl Cari,,Leyte–5th,house,wikipedia,NA,2026-08-25
Dimple Mastura,,Maguindanao del Norte at-large,house,wikipedia,NA,2026-08-25
Esmael Mangudadatu,,Maguindanao del Sur at-large,house,wikipedia,NA,2026-08-25
Monique Lagdameo,,Makati–1st,house,wikipedia,NA,2026-08-25
Alden Almario,,Makati–2nd,house,wikipedia,NA,2026-08-25
Antolin Oreta III,,Malabon at-large,house,wikipedia,NA,2026-08-25
Alexandria Gonzales,,Mandaluyong at-large,house,wikipedia,NA,2026-08-25
Emmarie Dizon,,Mandaue at-large,house,wikipedia,NA,2026-08-25
Ernix Dionisio,,Manila–1st,house,wikipedia,NA,2026-08-25
Rolan Valeriano,,Manila–2nd,house,wikipedia,NA,2026-08-25
Joel Chua,,Manila–3rd,house,wikipedia,NA,2026-08-25
Giselle Lazaro-Maceda,,Manila–4th,house,wikipedia,NA,2026-08-25
Irwin Tieng,,Manila–5th,house,wikipedia,NA,2026-08-25
Benny Abante,,Manila–6th,house,wikipedia,NA,2026-08-25
Marcelino Teodoro,,Marikina–1st,house,wikipedia,NA,2026-08-25
Miro Quimbo,,Marikina–2nd,house,wikipedia,NA,2026-08-25
Reynaldo Salvacion,,Marinduque at-large,house,wikipedia,NA,2026-08-25
Antonio Kho,,Masbate–1st,house,wikipedia,NA,2026-08-25
Elisa Olga Kho,,Masbate–2nd,house,wikipedia,NA,2026-08-25
Wilton Kho,,Masbate–3rd,house,wikipedia,NA,2026-08-25
Jason Almonte,,Misamis Occidental–1st,house,wikipedia,NA,2026-08-25
Ando Oaminal,,Misamis Occidental–2nd,house,wikipedia,NA,2026-08-25
Karen Lagbas,,Misamis Oriental–1st,house,wikipedia,NA,2026-08-25
Yevgeny Emano,,Misamis Oriental–2nd,house,wikipedia,NA,2026-08-25
Maximo Dalog Jr.,,Mountain Province at-large,house,wikipedia,NA,2026-08-25
